71142.66041750682 {'activations': [Sigmoid()], 'n_hidden': 1, 'n_nodes': [13]}
71383.87732649336 {'activations': [Sigmoid()], 'n_hidden': 1, 'n_nodes': [24]}
71319.33338901264 {'activations': [Sigmoid()], 'n_hidden': 1, 'n_nodes': [32]}
71012.69040128344 {'activations': [ReLU()], 'n_hidden': 1, 'n_nodes': [13]}
71324.046027133 {'activations': [ReLU()], 'n_hidden': 1, 'n_nodes': [24]}
70714.61910361769 {'activations': [ReLU()], 'n_hidden': 1, 'n_nodes': [32]}
71684.81089699411 {'activations': [Tanh()], 'n_hidden': 1, 'n_nodes': [13]}
72162.86866261497 {'activations': [Tanh()], 'n_hidden': 1, 'n_nodes': [24]}
71605.98800568361 {'activations': [Tanh()], 'n_hidden': 1, 'n_nodes': [32]}
70472.22157936655 {'activations': [Sigmoid(), Sigmoid()], 'n_hidden': 2, 'n_nodes': [13, 13]}
70771.02869624745 {'activations': [Sigmoid(), Sigmoid()], 'n_hidden': 2, 'n_nodes': [20, 20]}
70917.26092980114 {'activations': [Sigmoid(), Sigmoid()], 'n_hidden': 2, 'n_nodes': [24, 32]}
70920.73751857657 {'activations': [Sigmoid(), Sigmoid()], 'n_hidden': 2, 'n_nodes': [24, 64]}
70177.79412104776 {'activations': [ReLU(), ReLU()], 'n_hidden': 2, 'n_nodes': [13, 13]}
70823.65032557682 {'activations': [ReLU(), ReLU()], 'n_hidden': 2, 'n_nodes': [20, 20]}
70438.74187481248 {'activations': [ReLU(), ReLU()], 'n_hidden': 2, 'n_nodes': [24, 32]}
70365.47265357782 {'activations': [ReLU(), ReLU()], 'n_hidden': 2, 'n_nodes': [24, 64]}
71068.38449931945 {'activations': [Tanh(), Tanh()], 'n_hidden': 2, 'n_nodes': [13, 13]}
71406.63966870574 {'activations': [Tanh(), Tanh()], 'n_hidden': 2, 'n_nodes': [20, 20]}
71390.7766488352 {'activations': [Tanh(), Tanh()], 'n_hidden': 2, 'n_nodes': [24, 32]}
71590.3490498763 {'activations': [Tanh(), Tanh()], 'n_hidden': 2, 'n_nodes': [24, 64]}
115657.78086819616 {'activations': [Sigmoid(), Sigmoid(), Sigmoid()], 'dropout': True, 'n_hidden': 3, 'n_nodes': [13, 13, 13], 'patience': 1}
115657.78086819616 {'activations': [Sigmoid(), Sigmoid(), Sigmoid()], 'dropout': True, 'n_hidden': 3, 'n_nodes': [13, 13, 13], 'patience': 3}
115657.78086819616 {'activations': [Sigmoid(), Sigmoid(), Sigmoid()], 'dropout': True, 'n_hidden': 3, 'n_nodes': [13, 13, 13], 'patience': 5}
115657.78086819616 {'activations': [Sigmoid(), Sigmoid(), Sigmoid()], 'dropout': True, 'n_hidden': 3, 'n_nodes': [13, 13, 13], 'patience': 8}
76208.9202501806 {'activations': [Sigmoid(), Sigmoid(), Sigmoid()], 'dropout': True, 'n_hidden': 3, 'n_nodes': [32, 64, 32], 'patience': 1}
75060.5907634087 {'activations': [Sigmoid(), Sigmoid(), Sigmoid()], 'dropout': True, 'n_hidden': 3, 'n_nodes': [32, 64, 32], 'patience': 3}
75060.5907634087 {'activations': [Sigmoid(), Sigmoid(), Sigmoid()], 'dropout': True, 'n_hidden': 3, 'n_nodes': [32, 64, 32], 'patience': 5}
75060.5907634087 {'activations': [Sigmoid(), Sigmoid(), Sigmoid()], 'dropout': True, 'n_hidden': 3, 'n_nodes': [32, 64, 32], 'patience': 8}
75465.72029689775 {'activations': [Sigmoid(), Sigmoid(), Sigmoid()], 'dropout': True, 'n_hidden': 3, 'n_nodes': [64, 128, 64], 'patience': 1}
74412.71275834776 {'activations': [Sigmoid(), Sigmoid(), Sigmoid()], 'dropout': True, 'n_hidden': 3, 'n_nodes': [64, 128, 64], 'patience': 3}
74405.1459398751 {'activations': [Sigmoid(), Sigmoid(), Sigmoid()], 'dropout': True, 'n_hidden': 3, 'n_nodes': [64, 128, 64], 'patience': 5}
74149.82797997071 {'activations': [Sigmoid(), Sigmoid(), Sigmoid()], 'dropout': True, 'n_hidden': 3, 'n_nodes': [64, 128, 64], 'patience': 8}
69605.91596577135 {'activations': [Sigmoid(), Sigmoid(), Sigmoid()], 'dropout': False, 'n_hidden': 3, 'n_nodes': [13, 13, 13], 'patience': 1}
69586.19849511524 {'activations': [Sigmoid(), Sigmoid(), Sigmoid()], 'dropout': False, 'n_hidden': 3, 'n_nodes': [13, 13, 13], 'patience': 3}
